5
7 11
1 / aa
1 / bb
1 /aa/ cc
1 /bb/ dd
3 /bb/ /aa/
4 /aa/cc/ /
5 / 6
4 /bb/ /cc/
5 /cc/ 2
2 /cc/
5 / 3
7 10
1 / du
1 /du/ pan
1 / vibc
4 /du/ /vibc/
4 /vibc/du/ /
1 /du/pan/ mvgbov
1 /du/pan/mvgbov/ zkjsxy
4 /du/pan/ /vibc/
1 /du/ nurw
5 / 6
15 30
1 / arwre
1 /arwre/ js
1 /arwre/js/ jk
1 /arwre/js/jk/ jivyv
1 /arwre/js/ qtktwt
1 /arwre/js/ qn
1 / lw
5 /arwre/js/qn/ 0
5 /arwre/js/jk/jivyv/ 0
5 /arwre/js/ 4
4 /arwre/js/jk/ /lw/
1 /arwre/js/qtktwt/ xarkj
4 /arwre/js/qn/ /lw/jk/
4 /lw/jk/ /arwre/js/qtktwt/
4 /arwre/js/qtktwt/jk/qn/ /arwre/js/
4 /arwre/js/qtktwt/jk/ /lw/
5 /arwre/js/ 3
4 /arwre/js/qn/ /lw/
4 /lw/jk/ /
1 /lw/qn/ jmjajm
1 /arwre/js/ wp
4 /arwre/js/wp/ /lw/qn/jmjajm/
4 /lw/ /jk/jivyv/
1 /arwre/js/ dydql
1 /jk/jivyv/lw/qn/jmjajm/ fszafu
4 /jk/ /arwre/js/qtktwt/
1 /arwre/js/qtktwt/jk/jivyv/lw/qn/jmjajm/fszafu/ lu
4 /arwre/js/qtktwt/jk/jivyv/lw/ /arwre/js/qtktwt/jk/
1 /arwre/js/qtktwt/jk/lw/ dypel
5 / 14
46 100
1 / ghajod
1 / ob
1 / cxyvef
1 /ob/ sh
1 /cxyvef/ cnqhy
1 /cxyvef/ zg
1 /cxyvef/zg/ nk
1 /cxyvef/zg/nk/ xujih
1 /cxyvef/zg/nk/ gxa
1 /cxyvef/zg/nk/ ly
5 /cxyvef/zg/ 4
4 /ghajod/ /ob/sh/
1 /cxyvef/zg/nk/ly/ vslsbs
1 /ob/sh/ sfqxk
5 /ob/sh/ 2
1 /cxyvef/zg/ cbcj
1 /cxyvef/ zkvmn
5 /cxyvef/zg/nk/gxa/ 0
1 /cxyvef/cnqhy/ jk
4 /cxyvef/zg/nk/xujih/ /cxyvef/cnqhy/
1 /cxyvef/ tejk
5 /cxyvef/zg/ 5
1 /cxyvef/zg/cbcj/ yrodmf
1 /cxyvef/cnqhy/ rqzgts
1 /cxyvef/cnqhy/ ox
2 /cxyvef/zg/cbcj/
5 /cxyvef/zg/nk/gxa/ 0
1 /cxyvef/cnqhy/jk/ tgpa
4 /cxyvef/zg/nk/gxa/ /cxyvef/cnqhy/jk/
5 /ob/ 3
4 /ob/sh/ /cxyvef/cnqhy/
4 /cxyvef/cnqhy/xujih/ /cxyvef/cnqhy/sh/ghajod/
1 /cxyvef/zg/nk/ krw
4 /cxyvef/zg/nk/ly/vslsbs/ /cxyvef/cnqhy/jk/
5 /cxyvef/cnqhy/jk/gxa/ 0
5 /cxyvef/ 17
1 /cxyvef/zg/nk/ fgls
4 /cxyvef/cnqhy/jk/vslsbs/ /cxyvef/zg/nk/krw/
5 / 20
1 /cxyvef/zg/nk/krw/vslsbs/ xy
5 /cxyvef/zg/nk/fgls/ 0
1 /cxyvef/cnqhy/sh/ cxcbwd
1 /cxyvef/zg/nk/krw/ ty
3 /cxyvef/zg/nk/krw/vslsbs/ /cxyvef/cnqhy/
4 /cxyvef/cnqhy/sh/ghajod/xujih/ /cxyvef/cnqhy/rqzgts/
1 / on
4 /cxyvef/cnqhy/jk/tgpa/ /cxyvef/zg/nk/krw/ty/
1 /cxyvef/zkvmn/ vknih
5 /cxyvef/cnqhy/ox/ 0
1 /on/ ajazcb
1 /cxyvef/cnqhy/vslsbs/xy/ pu
4 /cxyvef/cnqhy/sh/ghajod/ /cxyvef/zg/nk/krw/ty/tgpa/
1 /ob/ qtcdij
1 /cxyvef/cnqhy/sh/sfqxk/ spwvw
4 /cxyvef/cnqhy/jk/ /cxyvef/cnqhy/sh/sfqxk/spwvw/
5 /cxyvef/zg/nk/krw/ 5
4 /cxyvef/zg/nk/ly/ /cxyvef/zg/
5 /cxyvef/zg/nk/fgls/ 0
4 /cxyvef/zg/nk/ /cxyvef/cnqhy/sh/sfqxk/spwvw/
4 /cxyvef/cnqhy/sh/sfqxk/spwvw/nk/krw/ty/tgpa/ /cxyvef/zkvmn/
1 /cxyvef/cnqhy/sh/sfqxk/spwvw/nk/fgls/ ulij
1 /cxyvef/cnqhy/sh/sfqxk/spwvw/jk/ xergpa
1 /cxyvef/zkvmn/ ybkp
1 /on/ajazcb/ vyxwf
4 /cxyvef/cnqhy/sh/cxcbwd/ /cxyvef/tejk/
5 /cxyvef/cnqhy/rqzgts/ 1
1 /cxyvef/tejk/ uvgvg
4 /ob/ /cxyvef/cnqhy/sh/sfqxk/
3 /cxyvef/cnqhy/vslsbs/xy/pu/ /cxyvef/cnqhy/sh/sfqxk/spwvw/nk/
5 /cxyvef/cnqhy/vslsbs/xy/ 1
5 /cxyvef/tejk/cxcbwd/ 0
1 /on/ajazcb/ ety
5 / 38
5 /cxyvef/zkvmn/vknih/ 0
5 /on/ajazcb/ 2
5 /cxyvef/tejk/ 2
4 /on/ajazcb/ety/ /cxyvef/cnqhy/sh/sfqxk/spwvw/nk/pu/
4 /cxyvef/cnqhy/sh/ /cxyvef/cnqhy/vslsbs/xy/pu/
5 /cxyvef/tejk/ 2
4 /cxyvef/zkvmn/ybkp/ /cxyvef/cnqhy/vslsbs/xy/pu/sh/sfqxk/
2 /cxyvef/tejk/
4 /cxyvef/cnqhy/rqzgts/xujih/ /cxyvef/cnqhy/vslsbs/xy/pu/sh/sfqxk/ob/
1 /cxyvef/cnqhy/vslsbs/xy/pu/sh/sfqxk/ob/qtcdij/ elefo
4 /cxyvef/zg/ly/ /cxyvef/cnqhy/vslsbs/xy/pu/sh/sfqxk/spwvw/nk/
4 /cxyvef/cnqhy/vslsbs/xy/pu/sh/sfqxk/spwvw/nk/ly/ /cxyvef/cnqhy/vslsbs/xy/pu/sh/sfqxk/ybkp/
5 /on/ 2
4 /cxyvef/cnqhy/vslsbs/xy/pu/sh/sfqxk/ybkp/ly/ /cxyvef/cnqhy/vslsbs/xy/pu/sh/sfqxk/spwvw/
4 /on/ /cxyvef/cnqhy/vslsbs/xy/pu/sh/sfqxk/spwvw/nk/fgls/ulij/
1 /cxyvef/cnqhy/rqzgts/ upafur
4 /cxyvef/cnqhy/vslsbs/xy/pu/sh/sfqxk/spwvw/ly/ /cxyvef/cnqhy/vslsbs/xy/pu/sh/sfqxk/ybkp/
